,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
89,0,3,male,-0.47364950337931966,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
90,0,3,male,-0.007595550580220341,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
91,0,3,male,-0.8464926656185987,0,0,-0.6997083997561191,S,Third,man,True,Southampton,no,True,0
92,0,1,male,1.5769878889367162,1,0,1.468882875526908,S,First,man,True,Southampton,no,False,1
93,0,3,male,-0.28722792225967964,1,2,-0.1823452713968234,S,Third,man,True,Southampton,no,False,3
97,1,1,male,-0.5668602939391394,0,1,1.5576790926002724,C,First,man,True,Cherbourg,yes,False,1
98,1,2,female,0.45845840221887846,0,1,-0.08371895966554144,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,0.45845840221887846,1,0,0.03829297237315804,S,Second,man,True,Southampton,no,False,1
100,0,3,female,-0.1008063411400401,0,0,-0.6980165009651823,S,Third,woman,False,Southampton,no,True,0
102,0,1,male,-0.753281875058779,0,1,2.124188627184756,S,First,man,True,Southampton,no,False,1
103,0,3,male,0.3652476116590587,0,0,-0.6671718845457991,S,Third,man,True,Southampton,no,True,0
104,0,3,male,0.7380907738983378,2,0,-0.6968289181600057,S,Third,man,True,Southampton,no,False,2
105,0,3,male,-0.1008063411400401,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
106,1,3,female,-0.753281875058779,0,0,-0.7080133452635532,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,0.057569757996452996,0,0,-0.7029295147619407,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,0.8313015644581575,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
109,1,3,female,0.057569757996452996,1,0,-0.036947719050706686,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,1.670198679496536,0,0,1.0957297167085527,S,First,man,True,Southampton,no,True,0
111,0,3,female,-1.3591520136976076,1,0,-0.4312821492709804,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,-0.6600710844989592,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
113,0,3,female,-0.8464926656185987,1,0,-0.6195546945354963,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,-1.126125037298058,0,0,-0.43111539963052753,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,-0.753281875058779,0,0,-0.6968289181600057,S,Third,man,True,Southampton,no,True,0
117,0,2,male,-0.007595550580220341,1,0,-0.165060247691341,S,Second,man,True,Southampton,no,False,1
120,0,2,male,-0.753281875058779,2,0,1.9701485629858984,S,Second,man,True,Southampton,no,False,2
122,0,2,male,0.3186422163791488,1,0,0.20385503002087038,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,0.3186422163791488,0,0,-0.49042539979453925,S,Second,woman,False,Southampton,yes,True,0
124,0,1,male,2.322674213415275,0,1,2.124188627184756,S,First,man,True,Southampton,no,False,1
125,1,3,male,-1.592178990097157,1,0,-0.5619365931624211,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,0.057569757996452996,0,0,-0.7039462808622632,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,-0.47364950337931966,0,0,-0.72868623361531,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,0.057569757996452996,1,1,-0.10981731192861913,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,1.4837770983768963,0,0,-0.7354660299722606,S,Third,man,True,Southampton,no,True,0
130,0,3,male,0.3652476116590587,0,0,-0.6980165009651823,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,-0.8464926656185987,0,0,-0.732415731671293,S,Third,man,True,Southampton,no,True,0
132,0,3,female,1.670198679496536,1,0,-0.4294194337751896,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,-0.3804387128194999,0,0,-0.49042539979453925,S,Second,man,True,Southampton,no,True,0
135,0,2,male,-0.5668602939391394,0,0,-0.40722139627294884,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,-0.9397034561784184,0,2,0.049814965822012586,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,0.7380907738983378,1,0,1.1404674251227425,S,First,man,True,Southampton,no,False,1
138,0,3,male,-1.219335827857878,0,0,-0.6442946472885431,S,Third,man,True,Southampton,no,True,0
139,0,1,male,-0.47364950337931966,0,0,2.201971233859427,C,First,man,True,Cherbourg,no,True,0
140,0,3,female,0.057569757996452996,0,2,-0.399087267470369,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,-0.6600710844989592,0,0,-0.7039462808622632,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,-0.47364950337931966,1,0,-0.3745140643577749,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,-0.9397034561784184,0,0,-0.744616924875163,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,-1.0329142467382382,0,0,-0.551431365813889,S,Second,man,True,Southampton,no,True,0
145,0,2,male,-0.9397034561784184,1,1,0.4755023955118309,S,Second,man,True,Southampton,no,False,2
146,1,3,male,-0.19401713169985987,0,0,-0.7020835653664724,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,-1.8718113617766163,2,2,0.37890961598119366,S,Third,child,False,Southampton,no,False,4
148,0,2,male,0.6914853786184278,0,2,0.03829297237315804,S,Second,man,True,Southampton,no,False,2
149,0,2,male,1.204144726697437,0,0,-0.49042539979453925,S,Second,man,True,Southampton,no,True,0
150,0,2,male,2.043041841735815,0,0,-0.5097439557006667,S,Second,man,True,Southampton,no,True,0
151,1,1,female,-0.6600710844989592,1,0,1.6895211192968893,S,First,woman,False,Southampton,yes,False,1
152,0,3,male,2.462490399255004,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
153,0,3,male,1.0643285408577075,0,2,-0.4294194337751896,S,Third,man,True,Southampton,no,False,2
154,0,3,male,0.057569757996452996,0,0,-0.7217396876179069,S,Third,man,True,Southampton,no,True,0
155,0,1,male,2.043041841735815,0,1,1.4771878210343423,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,-1.219335827857878,0,0,-0.7046254806172786,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,0.08561523997959943,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
158,0,3,male,0.057569757996452996,0,0,-0.666834318200492,S,Third,man,True,Southampton,no,True,0
159,0,3,male,0.057569757996452996,8,2,1.809499519134944,S,Third,man,True,Southampton,no,False,10
160,0,3,male,1.3905663078170767,0,1,-0.3643464033545498,S,Third,man,True,Southampton,no,False,1
161,1,2,female,1.017723145577797,0,0,-0.3785811287590648,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,-0.28722792225967964,0,0,-0.7029295147619407,S,Third,man,True,Southampton,no,True,0
163,0,3,male,-1.126125037298058,0,0,-0.666834318200492,S,Third,man,True,Southampton,no,True,0
165,1,3,male,-1.8718113617766163,0,2,-0.18437880359746844,S,Third,child,False,Southampton,yes,False,2
166,1,1,female,0.057569757996452996,0,1,1.2177416487472519,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,1.4837770983768963,1,4,0.11556719599766753,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,0.057569757996452996,0,0,0.035242674072190484,S,First,man,True,Southampton,no,True,0
169,0,3,male,-0.1008063411400401,0,0,1.2785767980617477,S,Third,man,True,Southampton,no,True,0
171,0,3,male,-2.3378653145757156,4,1,0.16538873491346984,Q,Third,child,False,Queenstown,no,False,5
175,0,3,male,-1.0329142467382382,1,1,-0.6997083997561191,S,Third,man,True,Southampton,no,False,2
176,0,3,male,0.057569757996452996,3,1,0.016603317921078452,S,Third,man,True,Southampton,no,False,4
177,0,1,female,1.949831051175995,0,0,0.14861209425814864,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,0.08561523997959943,0,0,-0.49042539979453925,S,Second,man,True,Southampton,no,True,0
179,0,3,male,0.644879983338518,0,0,-1.0191437719622365,S,Third,man,True,Southampton,no,True,0
180,0,3,female,0.057569757996452996,8,2,1.809499519134944,S,Third,woman,False,Southampton,no,False,10
181,0,2,male,0.057569757996452996,0,0,-0.40705057956809465,C,Second,man,True,Cherbourg,no,True,0
182,0,3,male,-1.8718113617766163,4,2,0.2574060669926555,S,Third,child,False,Southampton,no,False,6
184,1,3,female,-2.3378653145757156,0,2,-0.1233728375781187,S,Third,child,False,Southampton,yes,False,2
185,0,1,male,0.057569757996452996,0,0,1.0143884286827531,S,First,man,True,Southampton,no,True,0
186,1,3,female,0.057569757996452996,1,0,-0.3887487897622899,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,1.4837770983768963,0,0,0.0606618265802529,S,First,man,True,Southampton,yes,True,0
188,0,3,male,1.017723145577797,1,1,-0.3887487897622899,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,0.644879983338518,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
190,1,2,female,0.27203682109923893,0,0,-0.49042539979453925,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,-0.9397034561784184,0,0,-0.49042539979453925,S,Second,man,True,Southampton,no,True,0
192,1,3,female,-0.9397034561784184,1,0,-0.6997083997561191,S,Third,woman,False,Southampton,yes,False,1
194,1,1,female,1.3905663078170767,0,0,0.10827901659055596,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,1.204144726697437,0,1,-0.6773395455490241,S,Third,man,True,Southampton,no,False,1
199,0,2,female,-0.47364950337931966,0,0,-0.49042539979453925,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,-0.1008063411400401,0,0,-0.6327726538396886,S,Third,man,True,Southampton,no,True,0
202,0,3,male,0.45845840221887846,0,0,-0.7549554025832421,S,Third,man,True,Southampton,no,True,0
203,0,3,male,1.5303824936568062,0,0,-0.7252983689690355,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,-1.0329142467382382,0,0,-0.6917450876583933,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,0.27203682109923893,1,0,-0.3745140643577749,S,Third,man,True,Southampton,no,False,1
207,1,3,male,-0.28722792225967964,0,0,-0.25504404756988164,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,-1.219335827857878,0,0,-0.7039462808622632,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,1.017723145577797,0,0,0.2416461924376568,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,-0.47364950337931966,0,0,-0.732415731671293,S,Third,man,True,Southampton,no,True,0
211,1,2,female,0.5516691927786982,0,0,-0.165060247691341,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,-0.6600710844989592,0,0,-0.724281602868713,S,Third,man,True,Southampton,no,True,0
214,0,3,male,0.057569757996452996,1,0,-0.7039462808622632,Q,Third,man,True,Queenstown,no,False,1
215,1,1,female,0.17882603053941917,1,0,3.5878234285989876,C,First,woman,False,Cherbourg,yes,False,1
216,1,3,female,-0.19401713169985987,0,0,-0.6968289181600057,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,1.204144726697437,1,0,0.07896361638605782,S,Second,man,True,Southampton,no,False,1
218,1,1,female,0.27203682109923893,0,0,2.0836887998767106,C,First,woman,False,Cherbourg,yes,True,0
219,0,2,male,0.08561523997959943,0,0,-0.5921020098267887,S,Second,man,True,Southampton,no,True,0
220,1,3,male,-1.219335827857878,0,0,-0.6917450876583933,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,-0.19401713169985987,0,0,-0.49042539979453925,S,Second,man,True,Southampton,no,True,0
222,0,3,male,2.043041841735815,0,0,-0.6917450876583933,S,Third,man,True,Southampton,no,True,0
224,1,1,male,0.8313015644581575,1,0,2.6412141891987444,S,First,man,True,Southampton,yes,False,1
225,0,3,male,-0.6600710844989592,0,0,-0.6388732504416236,S,Third,man,True,Southampton,no,True,0
226,1,2,male,-0.9397034561784184,0,0,-0.5921020098267887,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,-0.7998872703386889,0,0,-0.724281602868713,S,Third,man,True,Southampton,no,True,0
228,0,2,male,-1.0329142467382382,0,0,-0.49042539979453925,S,Second,man,True,Southampton,no,True,0
229,0,3,female,0.057569757996452996,3,1,0.016603317921078452,S,Third,woman,False,Southampton,no,False,4
230,1,1,female,0.5516691927786982,1,0,2.375838237014573,S,First,woman,False,Southampton,yes,False,1
231,0,3,male,-0.007595550580220341,0,0,-0.7029295147619407,S,Third,man,True,Southampton,no,True,0
233,1,3,female,-2.2446545240158957,4,2,0.2574060669926555,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,-0.47364950337931966,0,0,-0.5921020098267887,S,Second,man,True,Southampton,no,True,0
235,0,3,female,0.057569757996452996,0,0,-0.7120804096648431,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,1.3905663078170767,1,0,0.03829297237315804,S,Second,man,True,Southampton,no,False,1
237,1,2,female,-1.9650221523364362,0,2,0.048460633376382956,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,-0.9397034561784184,0,0,-0.5921020098267887,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.3652476116590587,0,0,-0.5199116167038916,S,Second,man,True,Southampton,no,True,0
240,0,3,female,0.057569757996452996,1,0,-0.4312821492709804,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,-0.007595550580220341,0,0,-0.5921020098267887,S,Second,man,True,Southampton,no,True,0
243,0,3,male,-0.6600710844989592,0,0,-0.7293654333703254,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.08561523997959943,0,0,-0.7252983689690355,C,Third,man,True,Cherbourg,no,True,0
245,0,1,male,1.3905663078170767,2,0,2.6412141891987444,Q,First,man,True,Queenstown,no,False,2
246,0,3,female,-0.3804387128194999,0,0,-0.7029295147619407,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,-0.47364950337931966,0,2,-0.4294194337751896,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.7380907738983378,1,1,1.1182693876205017,S,First,man,True,Southampton,yes,False,2
249,0,2,male,2.322674213415275,1,0,0.03829297237315804,S,Second,man,True,Southampton,no,False,1
250,0,3,male,0.057569757996452996,0,0,-0.724281602868713,S,Third,man,True,Southampton,no,True,0
251,0,3,female,-0.007595550580220341,1,1,-0.5936271589772725,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,0.08561523997959943,1,0,-0.3643464033545498,S,Third,man,True,Southampton,no,False,1
254,0,3,female,1.1109339361376174,0,2,-0.19708837985149957,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,-0.007595550580220341,0,2,-0.399087267470369,C,Third,woman,False,Cherbourg,yes,False,2
256,1,1,female,0.057569757996452996,0,0,2.201971233859427,C,First,woman,False,Cherbourg,yes,True,0
257,1,1,female,0.08561523997959943,0,0,2.4988669351535955,S,First,woman,False,Southampton,yes,True,0
259,1,2,female,1.949831051175995,0,1,0.03829297237315804,S,Second,woman,False,Southampton,yes,False,1
262,0,1,male,2.1362526322956352,1,1,2.220273023665232,S,First,man,True,Southampton,no,False,2
263,0,1,male,1.017723145577797,0,0,-1.0191437719622365,S,First,man,True,Southampton,no,True,0
264,0,3,female,0.057569757996452996,0,0,-0.7039462808622632,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,0.644879983338518,0,0,-0.5921020098267887,S,Second,man,True,Southampton,no,True,0
266,0,3,male,-1.219335827857878,4,1,0.594972412299724,S,Third,man,True,Southampton,no,False,5
267,1,3,male,-0.3804387128194999,1,0,-0.7029295147619407,S,Third,man,True,Southampton,yes,False,1
270,0,1,male,0.057569757996452996,0,0,0.2416461924376568,S,First,man,True,Southampton,no,True,0
271,1,3,male,-0.3804387128194999,0,0,-1.0191437719622365,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,1.1109339361376174,0,1,-0.2260662137106906,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,0.7380907738983378,0,1,0.18877435522088723,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,1.4837770983768963,0,0,-0.7039462808622632,S,Third,woman,False,Southampton,no,True,0
277,0,2,male,0.057569757996452996,0,0,-1.0191437719622365,S,Second,man,True,Southampton,no,True,0
278,0,3,male,-2.058232942896256,4,1,0.16538873491346984,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,0.5516691927786982,1,1,-0.19556323070101575,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,-0.1008063411400401,0,0,-0.6997083997561191,S,Third,man,True,Southampton,no,True,0
282,0,3,male,-1.219335827857878,0,0,-0.6327726538396886,S,Third,man,True,Southampton,no,True,0
283,1,3,male,-0.9397034561784184,0,0,-0.6917450876583933,S,Third,man,True,Southampton,yes,True,0
284,0,1,male,0.057569757996452996,0,0,0.03829297237315804,S,First,man,True,Southampton,no,True,0
285,0,3,male,0.3652476116590587,0,0,-0.666834318200492,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,0.08561523997959943,0,0,-0.6327726538396886,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,-0.6600710844989592,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
288,1,2,male,1.204144726697437,0,0,-0.49042539979453925,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,-0.6600710844989592,0,0,-0.7039462808622632,Q,Third,woman,False,Queenstown,yes,True,0
290,1,1,female,-0.28722792225967964,0,0,2.1877365084549116,S,First,woman,False,Southampton,yes,True,0
291,1,1,female,-0.9397034561784184,1,0,2.685105948217466,C,First,woman,False,Cherbourg,yes,False,1
292,0,2,male,0.644879983338518,0,0,-0.4955092302961518,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,-0.47364950337931966,0,0,-0.6592085724480735,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,-0.47364950337931966,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
296,0,3,male,-0.5202548986592296,0,0,-0.7251275522641815,C,Third,man,True,Cherbourg,no,True,0
298,1,1,male,0.057569757996452996,0,0,0.22131087043120698,S,First,man,True,Southampton,yes,True,0
301,1,3,male,0.057569757996452996,2,0,-0.0735512986623164,Q,Third,man,True,Queenstown,yes,False,2
302,0,3,male,-0.9397034561784184,0,0,-1.0191437719622365,S,Third,man,True,Southampton,no,True,0
303,1,2,female,0.057569757996452996,0,0,-0.5168613184029242,Q,Second,woman,False,Queenstown,yes,True,0
306,1,1,female,0.057569757996452996,0,0,3.4905514493133345,C,First,woman,False,Cherbourg,yes,True,0
307,1,1,female,-1.126125037298058,1,0,3.409889361042551,C,First,woman,False,Cherbourg,yes,False,1
308,0,2,male,0.08561523997959943,1,0,-0.04304831565264152,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,0.08561523997959943,0,0,1.2962034551769381,C,First,woman,False,Cherbourg,yes,True,0
310,1,1,female,-0.47364950337931966,0,0,2.3629578440556878,C,First,woman,False,Cherbourg,yes,True,0
312,0,2,female,-0.28722792225967964,1,1,0.03829297237315804,S,Second,woman,False,Southampton,no,False,2
314,0,2,male,1.2973555172572568,1,1,0.048460633376382956,S,Second,man,True,Southampton,no,False,2
315,1,3,female,-0.28722792225967964,0,0,-0.6997083997561191,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,-0.47364950337931966,1,0,0.03829297237315804,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,2.322674213415275,0,0,-0.4497547557816395,S,Second,man,True,Southampton,no,True,0
321,0,3,male,-0.19401713169985987,0,0,-0.6980165009651823,S,Third,man,True,Southampton,no,True,0
322,1,2,female,0.08561523997959943,0,0,-0.5168613184029242,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,-0.6600710844989592,1,1,0.16030490441185738,S,Second,woman,False,Southampton,yes,False,2
327,1,2,female,0.644879983338518,0,0,-0.49042539979453925,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,0.17882603053941917,1,1,-0.18437880359746844,S,Third,woman,False,Southampton,yes,False,2
