,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,new_age,sex_code,embarked_num
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,,1,2
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,adult,0,0
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,adult,0,1
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,adult,0,0
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,,0,1
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,young adult,0,0
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,child,1,0
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,child,1,1
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,adult,1,0
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,adult,1,0
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,,0,1
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,child,1,1
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,young adult,1,2
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,,0,0
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,,0,2
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,,1,2
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,,0,1
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,child,1,0
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,child,0,0
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,young adult,0,0
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,adult,1,1
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,adult,1,0
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,adult,0,1
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,,0,0
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,young adult,1,0
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,adult,0,1
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,child,1,0
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,child,0,0
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,young adult,0,1
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,adult,1,-1
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,adult,0,0
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,child,0,0
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,,0,1
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,,0,1
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,adult,1,0
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,young adult,0,0
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,child,1,0
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,adult,0,0
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,adult,0,0
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,child,1,0
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,young adult,0,0
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,adult,0,1
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,adult,0,0
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,adult,0,0
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,,0,0
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,,0,0
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,child,0,0
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,adult,1,0
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,young adult,0,0
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,adult,0,0
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,,1,2
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,adult,0,0
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,child,1,0
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,adult,1,0
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,child,0,0
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,,0,0
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,young adult,1,0
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,young adult,0,0
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,adult,0,0
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,young adult,0,0
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,adult,0,0
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,adult,0,0
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,adult,0,0
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,,0,0
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,adult,0,1
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,young adult,0,1
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,adult,1,0
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,adult,0,0
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,adult,1,0
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,,0,0
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,young adult,0,0
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,adult,0,0
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,adult,0,0
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,adult,0,0
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,young adult,1,0
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,,0,0
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,adult,0,0
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,,1,2
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,adult,0,0
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,child,1,1
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,young adult,0,0
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,young adult,1,0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,child,1,1
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,young adult,0,0
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,adult,0,2
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,adult,0,0
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,young adult,0,1
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,child,1,0
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,young adult,0,0
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,,0,0
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,adult,0,1
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,adult,1,0
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,adult,0,0
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,child,0,1
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,,0,2
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,young adult,0,0
128,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,,1,1
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,adult,0,0
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,adult,0,1
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,young adult,0,0
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,adult,1,0
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,adult,1,0
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,adult,0,0
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,young adult,0,1
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,young adult,1,0
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,adult,0,0
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,child,0,0
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,young adult,0,1
140,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,,1,1
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,young adult,1,0
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,young adult,1,0
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,young adult,0,2
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,child,0,0
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,young adult,0,0
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,adult,0,0
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,child,1,0
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,adult,0,0
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,adult,0,0
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,adult,0,0
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,young adult,1,0
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,adult,0,0
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,adult,0,0
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,,0,0
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,adult,0,1
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,child,1,2
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,adult,0,0
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,,0,0
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,,0,0
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,adult,0,0
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,adult,1,0
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,adult,0,0
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,child,0,0
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,child,0,0
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,child,0,0
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,,1,0
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,adult,1,0
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,,0,0
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,adult,0,0
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,adult,0,0
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,child,0,2
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,child,1,0
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,young adult,0,0
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,adult,0,1
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,child,0,0
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,,0,0
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,adult,1,1
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,adult,0,0
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,adult,0,0
180,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,,1,0
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,,0,1
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,child,0,0
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,child,0,0
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,child,1,0
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,,0,0
186,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,,1,2
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,adult,0,0
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,adult,0,2
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,adult,0,0
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,adult,1,0
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,young adult,0,0
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,young adult,1,0
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,child,0,0
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,adult,1,1
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,adult,1,1
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,,0,2
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,adult,0,0
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,,1,2
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,young adult,1,0
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,adult,0,0
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,,0,0
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,adult,0,0
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,adult,0,1
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,child,0,0
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,child,1,0
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,adult,0,0
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,adult,0,1
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,child,1,2
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,adult,0,1
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,young adult,0,0
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,adult,1,0
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,young adult,0,0
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,adult,0,0
214,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,,0,2
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,adult,1,1
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,adult,1,0
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,adult,0,0
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,adult,1,1
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,adult,0,0
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,child,0,0
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,adult,0,0
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,adult,0,0
223,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,,0,0
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,adult,0,0
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,young adult,0,0
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,young adult,0,0
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,young adult,0,0
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,child,0,0
229,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,,1,0
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,adult,1,0
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,adult,0,0
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,adult,0,0
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,child,1,0
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,young adult,0,0
235,0,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True,,1,0
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,adult,0,0
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,child,1,0
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,young adult,0,0
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,adult,0,0
240,0,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,,1,1
241,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,,1,2
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,adult,0,0
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,young adult,0,0
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,adult,0,1
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,adult,0,2
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,adult,1,0
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,young adult,1,0
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,adult,0,0
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,adult,0,0
250,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,,0,0
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,adult,1,0
252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,adult,0,0
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,adult,0,0
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,adult,1,0
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,adult,1,1
256,1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,,1,1
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,adult,1,0
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,adult,1,1
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,adult,1,0
260,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,,0,2
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,child,0,0
262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,adult,0,0
263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,adult,0,0
264,0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,,1,2
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,adult,0,0
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,child,0,0
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,adult,0,0
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,adult,1,0
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,adult,1,0
270,0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True,,0,0
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,adult,0,0
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,adult,1,0
273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,adult,0,1
274,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,,1,2
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,adult,1,0
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,adult,1,0
277,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,,0,0
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,child,0,2
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,adult,1,0
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,adult,0,2
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,adult,0,0
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,child,0,0
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,young adult,0,0
284,0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True,,0,0
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,adult,0,1
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,adult,0,0
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,young adult,0,0
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,adult,0,0
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,young adult,1,2
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,adult,1,0
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,young adult,1,1
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,adult,0,1
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,young adult,1,0
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,young adult,0,0
295,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,,0,1
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,young adult,0,1
